ID,Name,GEO_ID,Pct_Pov,Pct_HS25,Pct_Bach25,Med_Inc,Pct_UE16
247,"Census Tract 1205.01, Milwaukee County, Wisconsin",55079120501,15.3,94.8,31.4,68848,2.3
248,"Census Tract 1205.02, Milwaukee County, Wisconsin",55079120502,14.8,92.8,33.6,55377,2.4
249,"Census Tract 1301, Milwaukee County, Wisconsin",55079130100,15,94.6,40.2,79911,1
250,"Census Tract 1302, Milwaukee County, Wisconsin",55079130200,17.5,95.2,33.4,74375,3
251,"Census Tract 1401, Milwaukee County, Wisconsin",55079140100,15,98,57.6,76369,1.4
252,"Census Tract 1402.01, Milwaukee County, Wisconsin",55079140201,21.9,94.6,40.3,67409,3.3
253,"Census Tract 1402.02, Milwaukee County, Wisconsin",55079140202,15.2,96.3,45.4,73451,2.5
254,"Census Tract 1501, Milwaukee County, Wisconsin",55079150100,13,94.9,39.8,67873,2.9
255,"Census Tract 1503.01, Milwaukee County, Wisconsin",55079150301,14.2,96.3,41,88671,4.3
256,"Census Tract 1503.03, Milwaukee County, Wisconsin",55079150303,17,93.2,42.2,74063,3.9
257,"Census Tract 1503.04, Milwaukee County, Wisconsin",55079150304,8.8,96.3,49.3,72292,2.5
258,"Census Tract 1601, Milwaukee County, Wisconsin",55079160100,14.4,98.2,29,63261,5.4
259,"Census Tract 1602.02, Milwaukee County, Wisconsin",55079160202,27.9,89.8,25.6,74844,1.7
260,"Census Tract 1602.03, Milwaukee County, Wisconsin",55079160203,14.4,93.9,37,74142,2.4
261,"Census Tract 1602.04, Milwaukee County, Wisconsin",55079160204,19.4,99,41.6,60933,2.6
262,"Census Tract 1603, Milwaukee County, Wisconsin",55079160300,8.9,94.1,37.7,111277,3.3
263,"Census Tract 1701, Milwaukee County, Wisconsin",55079170100,20.9,95.7,36.5,65750,4.3
264,"Census Tract 1702, Milwaukee County, Wisconsin",55079170200,25.8,91.5,22.4,41679,4.6
265,"Census Tract 1703, Milwaukee County, Wisconsin",55079170300,27.1,91.3,16.2,50147,5.3
266,"Census Tract 1704, Milwaukee County, Wisconsin",55079170400,8,92,29.6,78214,2.8
267,"Census Tract 1705, Milwaukee County, Wisconsin",55079170500,22,86.6,19.4,48398,6.5
268,"Census Tract 1706, Milwaukee County, Wisconsin",55079170600,23.8,88.3,17.5,45446,6.6
269,"Census Tract 1707, Milwaukee County, Wisconsin",55079170700,24.5,88.3,17.6,59063,1.6
270,"Census Tract 1801, Milwaukee County, Wisconsin",55079180100,11.4,92.2,27.1,62175,2.9
271,"Census Tract 1802, Milwaukee County, Wisconsin",55079180200,27.8,94.9,25.9,50966,0
272,"Census Tract 1803, Milwaukee County, Wisconsin",55079180300,19.8,91.7,20.8,45536,5
273,"Census Tract 1804, Milwaukee County, Wisconsin",55079180400,16.4,91.4,14.7,56522,3.7
274,"Census Tract 1805, Milwaukee County, Wisconsin",55079180500,11.6,93,19.1,59313,3.4
275,"Census Tract 1851, Milwaukee County, Wisconsin",55079185100,18.2,91.2,36.8,44810,2.8
276,"Census Tract 1852, Milwaukee County, Wisconsin",55079185200,15.7,95.2,23.8,43555,0.8
277,"Census Tract 1853, Milwaukee County, Wisconsin",55079185300,17.2,96.1,54.4,69432,1.4
278,"Census Tract 1854, Milwaukee County, Wisconsin",55079185400,72.9,79.3,9.7,22434,28.6
279,"Census Tract 1855, Milwaukee County, Wisconsin",55079185500,54,76.3,7.7,21250,11
280,"Census Tract 1856, Milwaukee County, Wisconsin",55079185600,39.3,82.1,27.4,35227,3.8
281,"Census Tract 1857, Milwaukee County, Wisconsin",55079185700,37.7,86.8,12.1,28945,19.5
282,"Census Tract 1858, Milwaukee County, Wisconsin",55079185800,56.4,88.9,12,40028,16.1
283,"Census Tract 1859, Milwaukee County, Wisconsin",55079185900,25.4,84.8,28.5,56250,11.3
284,"Census Tract 1860, Milwaukee County, Wisconsin",55079186000,52.2,63.4,18.4,15889,8.4
285,"Census Tract 1861, Milwaukee County, Wisconsin",55079186100,50.9,73.7,6.5,18095,10.5
286,"Census Tract 1862, Milwaukee County, Wisconsin",55079186200,57.8,65.4,11.5,20069,16
287,"Census Tract 1863, Milwaukee County, Wisconsin",55079186300,31.6,81.7,31.3,61929,4.7
288,"Census Tract 1864, Milwaukee County, Wisconsin",55079186400,62.5,94.2,57.3,11836,6
289,"Census Tract 1865, Milwaukee County, Wisconsin",55079186500,30.6,77,34.1,42813,2.5
290,"Census Tract 1866, Milwaukee County, Wisconsin",55079186600,53,69.2,11.1,35724,6.1
291,"Census Tract 1868, Milwaukee County, Wisconsin",55079186800,43.6,73.8,16.8,18846,15.7
292,"Census Tract 1869, Milwaukee County, Wisconsin",55079186900,16,98.7,75.8,60682,1.5
293,"Census Tract 1870, Milwaukee County, Wisconsin",55079187000,14.7,96,70,59923,1.7
294,"Census Tract 1872, Milwaukee County, Wisconsin",55079187200,19.9,87.4,33,95236,3.9
295,"Census Tract 1873, Milwaukee County, Wisconsin",55079187300,17.8,96,43.3,105391,3.2
296,"Census Tract 1874, Milwaukee County, Wisconsin",55079187400,21,99,75.5,88144,1.3
297,"Census Tract 9800, Milwaukee County, Wisconsin",55079980000,-,-,-,-,-
298,"Census Tract 9900, Milwaukee County, Wisconsin",55079990000,-,-,-,-,-
